Test case	Expected	Actual	Remarks	Result Status
Verify over-loaded passenger vehicles should attract ₹200 per extra passenger as per the latest Chhattisgarh schedule	₹200 per extra passenger		Rs. 3,000 fine per extra passenger over the permitted seating capacity	Fail
Verify safety standards violation by motor-cycle drivers or pillion riders should attract ₹1000 and/or cancellation of license for 3 months as per the latest Chhattisgarh schedule	₹1000 and/or cancellation of license for 3 months		first offence : 5000rs and second suboffence upto 10000 and cancellation of license of 3 months	Fail
Verify driving without helmet should attract ₹1000 and/or cancellation of license for 3 months as per the latest Chhattisgarh schedule	₹1000 and/or cancellation of license for 3 months		Cancellation of License may vary and Fine typically 1000rs	Fail
Verify unnecessary honking should attract ₹1000-₹2000 as per the latest Chhattisgarh schedule	₹1000-₹2000		500rs to 1000rs	Fail
Verify not giving way to an ambulance or emergency vehicle should attract ₹10000 and/or imprisonment up to 6 months as per the latest Chhattisgarh schedule	₹10000 and/or imprisonment up to 6 months		First Offence : upto 5000rs not less than 2000rs and Subsequent upto 10000 rs and upto extend 1 year imprisonment	Fail
Verify driving without a driving license or with an expired license should attract ₹5000 and/or imprisonment up to 3 months as per the latest applicable rule interpretation	₹5000 and/or imprisonment up to 3 months		500 fine and imprisonment of 3 months	Fail
Verify an unauthorized person driving a vehicle should attract ₹5000 and/or imprisonment up to 3 months as per the applicable rule interpretation	₹5000 and/or imprisonment up to 3 months		up to 1000rs fine and 3 months of Imprisonment	Fail
Verify driving without or with an expired registration certificate for two-wheelers should attract ₹3000 for the first offense and ₹5000 for the subsequent offense as per the applicable rule interpretation	First offense: ₹3000; Subsequent offense: ₹5000		First Offence : 1000 Subsequence : 2000	Fail
Verify road tax non-payment should attract ₹500 as per the applicable rule interpretation	₹500		Sadak Sahayak Output : Double the Amount under Section 3 and 9 and Mandate section 193 under motor vehicle act , Google Output : ₹300+ initial penalty + monthly interest OR a fine up to 5x the annual road tax and unpaid roadtax violation violation under Section 192 or 192B of the Motor Vehicles Act 	Fail
Verify driving without or with an expired insurance policy should attract ₹2000 for the first offense and ₹4000 for the second or any subsequent offense and/or imprisonment up to 3 months as per the applicable rule interpretation	First offense: ₹2000; Second/subsequent offense: ₹4000 and/or imprisonment up to 3 months		sadak sahayak outpupt : firs offence - upto 500 rs , second offence upto similar penalties and imprisonment upto 1 month , google - source india kanoon says - Offense CountFine AmountImprisonment TermLegal ProvisionFirst Offense₹2,000Up to 3 months (or both)Section 196(1)Second / Subsequent Offense₹4,000Up to 3 months (or both)Section 196(1)	Fail
Verify failure to report a change of address within thirty days should attract ₹500 for the first offense and ₹1000 for the second or subsequent offense as per the applicable rule interpretation	First offense: ₹500; Subsequent offense: ₹1000		Sadak Sahayak Output : First Offence - 1000 and Second Offence - prescribed by state government , section 47 of MVA 1988. Google Output - Source Indian kanoon - The Direct Penalty Under Section 49(2)If you fail to intimate your new address to the RTO within 30 days, the law allows you to pay a compounding fee directly to the registering authority in lieu of facing a police prosecution. Under the Motor Vehicles Amendment Act, this compounding fee was increased to a flat maximum limit of ₹500. It does not scale up to ₹1,000 for a second offense within Section 49 itself , section 47 is about Requirements for Re-Registration under Section 47	Fail
Verify violating air pollution standards should attract ₹2000 for the first offense and ₹5000 for the second or subsequent offense and disqualification for holding a license for 3 months as per the applicable rule interpretation	First offense: ₹2000; Subsequent offense: ₹5000; disqualification for 3 months		SADAK SAHAYAK OUTPUT :  First Offence : fine of 1000 rs , Second Offence : fine of 2000rs and Disqualification of Driving License upto 6 months , Section : 190(2) under MVA .  But According to Indian kAnoon source : First Offense: A fine of up to ₹10,000, imprisonment for a term of up to 3 months, or both. Additionally, it carries a mandatory disqualification from holding a driving license for 3 months.Second or Subsequent Offense: A fine of up to ₹10,000, imprisonment for a term of up to 6 months, or both. under Section 190(2) under MVA 1988.	Fail
Verify overloading should attract ₹20000 and ₹2000 per tonne of surplus weight plus off-loading charges as per the applicable rule interpretation	₹20000 and ₹2000 per tonne of surplus weight plus off-loading charges		Sadak Sahayak Output : Minimum fine of 2000 and 1000 per tonne , section : 113 , 114 under MVA 1988 . Actual : one more section which is  MVA 1988 Section 194 which states Minimum fine of ₹2,000 plus ₹1,000 per extra tonne of excess load, plus off-loading charges.	Fail
Verify failure to provide passage to emergency vehicles should attract ₹10000 and/or imprisonment up to 6 months as per the applicable rule interpretation	₹10000 and/or imprisonment up to 6 months		sadak sahayak output - imprisonment shall not less than 3 months can extend unto 1 Year , Fine upto 10k but not less than 5k , section undr MVA 1988 - section 192 , recorrected : The penalty for failing to provide free passage to emergency vehicles (like ambulances and fire engines) is indeed up to ₹10,000 and/or imprisonment up to 6 months Section 194E under Motor Vehicle Act 1988. 	Fail
Verify racing and trails of speed should attract ₹5000 and/or imprisonment up to 3 months for the first offense, and ₹10000 and/or imprisonment up to 1 year for a subsequent offense as per the applicable rule interpretation	First offense: ₹5000 and/or imprisonment up to 3 months; Subsequent offense: ₹10000 and/or imprisonment up to 1 year		its showing MVA 1988 Section 183 and first offence for a term imprisonment extend upto 6 months , fine 5000 or both  , for subsequent offence for a term imprisonment extend upto 2 years , fine 10000 or both. Here Section Showing 183 is for specific overspeeding , not racing and trails of speed , for racing trail of speed offence there is section 189 under MVA 1988.	Fail
Verify wrong parking should attract ₹500 for the first violation and ₹1000 for the second or subsequent violation as per the applicable rule interpretation	First violation: ₹500; Second/subsequent violation: ₹1000		Expected output is correct but only for bikes , for cars it is 1000 for first violation , 2000 for second violation which I got to know using Sadak Sahayak. But India Code and Parivahan shows upto 1500 Federal Limit with extra towing charges	Fail
Verify driving without helmet should attract ₹1000 and license suspension for 3 months as per the applicable rule interpretation	₹1000 and license suspension for 3 months		Its showning  1000 fine and Section 129 which mandates protective gear but showing no explicit license suspension, it should show offender shall be disqualified for holding license for a peroid of 3 Months stated by section 194D of MVA 	Fail
Verify offences by a juvenile should attract a fine of ₹25000 and imprisonment up to 3 years for the guardian or owner, with vehicle registration cancelled for 1 year and the juvenile not eligible for a license until 25 years as per the applicable rule interpretation	₹25000 and imprisonment up to 3 years; vehicle registration cancelled for 1 year; juvenile not eligible until 25		when first asked that general juvenile traffic violation it has not shown any fines and imprisonment related to expected but when i put expected with is it correct , It's Showing Relevent Section as 183(1) and 183(3) which are overspeeding and evidentiary protection rule , it should show relevent as Section 199A for all vehicle types. Source - Digital Sansad , Challan Wala, India Code	Fail
